status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,pd_estimate,LGD,EAD,stage,ecl
1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,2,2,2,1,0.7330204976903022,0.5700000000000001,1602,Stage 2,669.3503372609226
4,15,2,3,1979,5,5,4,3,1,2,3,35,3,2,1,3,2,1,2,1,0.08417724655806191,0.38999999999999996,1979,Stage 1,51.975072532782214
4,24,4,0,2022,1,3,4,2,1,4,3,37,3,2,1,3,2,2,2,1,0.3688168448831667,0.5700000000000001,2022,Stage 1,212.53808320082248
4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,2,2,2,1,0.07029133104954244,0.38999999999999996,3342,Stage 1,30.538771687784205
2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,2,2,2,1,0.63698602566044,0.525,5866,Stage 2,1961.6940139251742
3,15,4,1,2360,3,3,2,3,1,2,3,36,3,2,1,3,2,2,2,1,0.028946988725545575,0.48,2360,Stage 1,26.23291906263842
4,15,4,2,1520,5,5,4,3,1,4,2,63,3,2,1,3,2,1,2,1,0.03520498661532634,0.48,1520,Stage 1,20.548446587633677
1,12,2,0,3651,4,3,1,3,1,3,2,31,3,2,1,3,1,1,2,1,0.426626268950167,0.525,3651,Stage 1,817.7465666669564
4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,2,2,2,1,0.08363483513176173,0.5700000000000001,2346,Stage 1,55.91908711744722
4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,2,1,2,1,0.42854842531761594,0.75,4454,Stage 1,477.18867159116536
1,6,4,0,666,4,4,3,2,1,4,1,39,3,2,2,2,2,2,2,1,0.30815593445623723,0.615,666,Stage 1,126.21758919393021
2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,2,2,2,1,0.6725088083828822,0.38999999999999996,1965,Stage 2,515.3771253042217
2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,2,1,2,1,0.5204491705375045,0.525,1995,Stage 2,545.1054499917188
2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,2,1,2,1,0.2772140424863686,0.38999999999999996,2991,Stage 1,129.34696336796964
2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,2,1,2,1,0.894026074180883,0.5700000000000001,4221,Stage 2,2150.999913696979
1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,2,1,2,1,0.2877761278396026,0.75,1364,Stage 1,294.39497877991346
2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,2,2,2,1,0.35361777508028536,0.48,6361,Stage 1,719.7960535314224
4,27,4,2,4526,4,2,4,3,1,2,1,32,2,2,2,2,1,2,2,1,0.20796871511247894,0.615,4526,Stage 1,257.27948392374844
2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,2,1,2,1,0.27580627464055874,0.75,3573,Stage 1,739.0918644680372
2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,2,2,2,0,0.8216602690258032,0.75,4455,Stage 3,3341.25
1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,2,1,2,1,0.5011629961595103,0.75,2136,Stage 2,802.8631198475356
2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,2,1,2,1,0.7382501228208023,0.75,5954,Stage 2,3296.6559234562924
4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,2,2,2,1,0.07376567892785102,0.615,3777,Stage 1,85.67348806297669
1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,2,1,2,1,0.6995159210530758,0.66,806,Stage 2,372.1144893633942
2,24,3,9,4712,5,3,4,3,1,2,2,34,1,2,2,4,2,2,2,1,0.5177879104052039,0.48,4712,Stage 2,1171.111984238074
2,36,3,0,7432,1,3,2,2,1,2,2,54,3,1,1,3,2,1,2,1,0.869434043895441,0.66,7432,Stage 2,4264.678317392406
4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,2,2,2,1,0.15563891110890515,0.5700000000000001,1851,Stage 1,82.10497297183629
4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,2,2,2,1,0.14952102536798662,0.75,1393,Stage 1,78.10604562660201
4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,2,2,2,1,0.15383190675781966,0.75,1412,Stage 1,162.907989256531
4,18,2,3,1473,1,2,3,4,1,4,1,39,3,2,1,3,2,2,2,1,0.1831950960496357,0.75,1473,Stage 1,134.92318824055667
4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,2,2,2,1,0.41843959326289004,0.5700000000000001,1533,Stage 1,182.81835049452297
4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,2,1,2,1,0.13969015176608668,0.38999999999999996,2012,Stage 1,109.61206828781289
1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,2,2,2,0,0.7865872680375574,0.66,3959,Stage 3,2612.94
1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,2,2,2,1,0.5196930133670923,0.66,428,Stage 2,146.80288241593624
2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,2,2,2,1,0.5008048706165982,0.48,2366,Stage 2,568.7540754618582
4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,2,2,2,1,0.27387723642858297,0.75,763,Stage 1,156.7262485462566
2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,2,2,2,1,0.20221297275481032,0.38999999999999996,3976,Stage 1,179.17687089858228
2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,2,1,2,1,0.7472385020295813,0.75,6260,Stage 2,3508.2847670288843
2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,2,2,2,1,0.4180918854346435,0.5700000000000001,1919,Stage 1,457.3214470449761
4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,2,2,2,1,0.10960530288210923,0.435,2603,Stage 1,62.053316239963344
4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,2,2,2,1,0.1301971526821628,0.48,936,Stage 1,58.4949767570421
4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,2,2,2,1,0.32840588051819086,0.38999999999999996,3062,Stage 1,196.08786719860657
2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,2,2,2,1,0.826090231165212,0.48,4795,Stage 2,1901.3292760498516
4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,1,2,2,1,0.08876327294960351,0.66,5842,Stage 1,114.08210892574843
2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,2,2,2,1,0.689579580045426,0.5700000000000001,2063,Stage 2,810.883523971217
4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,2,1,2,1,0.20904958086259584,0.5700000000000001,1459,Stage 1,139.08152234620846
4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,2,2,2,1,0.10149710676091295,0.57,1213,Stage 1,56.14089166845025
4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,2,2,2,1,0.41329847436127054,0.48,5103,Stage 1,506.17490751973526
4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,2,1,2,1,0.1924271549153379,0.57,874,Stage 1,76.69068802857844
4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,2,2,2,1,0.08754305516071736,0.48,2978,Stage 1,125.13754476893584
4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,2,2,2,1,0.40161693162838774,0.66,1820,Stage 1,321.61483884801294
4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,1,2,2,1,0.06263359103418842,0.705,2872,Stage 1,63.40899489119167
3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,2,1,2,1,0.2280880300017154,0.75,1925,Stage 1,164.6510466574883
4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,2,2,2,1,0.14919803212877958,0.75,2515,Stage 1,187.61652540194032
3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,2,2,2,1,0.1207437755351839,0.75,2116,Stage 1,191.62037177433683
4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,2,1,2,1,0.2837495887691671,0.75,1453,Stage 1,206.1440762407999
4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,2,2,2,1,0.25182582674343457,0.5700000000000001,1364,Stage 1,195.78954377648552
4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,2,1,2,1,0.20051905455674512,0.615,1543,Stage 1,190.2815542263505
2,12,2,0,1318,4,5,4,3,1,4,1,54,3,2,1,3,2,2,2,1,0.21043230693828763,0.615,1318,Stage 1,170.57011503496778
1,24,1,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,2,1,2,1,0.8620438036967961,0.525,2325,Stage 2,1052.2322178874017
2,6,4,8,932,5,4,1,2,1,3,2,39,3,2,2,2,2,1,2,1,0.03837644639256621,0.48,932,Stage 1,17.168087058178422
3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,2,2,2,1,0.0911131167217385,0.38999999999999996,3148,Stage 1,55.93069783080639
4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,2,2,2,1,0.08098791972411168,0.57,3835,Stage 1,59.01184770697397
4,9,2,6,3832,5,5,1,3,1,4,1,64,3,2,1,2,2,1,2,1,0.04902348640386711,0.57,3832,Stage 1,107.07905994278269
2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,2,2,2,1,0.22193904357978977,0.38999999999999996,5084,Stage 1,220.02592902413198
4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,2,1,2,1,0.16546122545351516,0.5700000000000001,2406,Stage 1,226.91683381145978
4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,2,1,2,1,0.23584393929501035,0.38999999999999996,2394,Stage 1,73.3993507873931
4,21,2,1,2476,5,5,4,3,1,4,1,46,3,2,1,4,2,2,2,1,0.024640839653206292,0.57,2476,Stage 1,19.872062753921774
1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,1,2,2,1,0.2535710548671696,0.3,2964,Stage 1,112.7376909939436
1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,2,2,2,1,0.27137314264979684,0.48,1262,Stage 1,164.38699489154092
4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,2,2,2,1,0.1378155138688344,0.5700000000000001,1542,Stage 1,121.1315677598733
2,24,4,3,1743,1,5,4,3,1,2,2,48,3,2,2,2,2,1,2,1,0.329413191170824,0.66,1743,Stage 1,189.47517342954626
3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,2,1,2,1,0.3778908770826519,0.615,409,Stage 1,95.05278176698485
4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,2,1,2,1,0.3642791703715428,0.5700000000000001,2171,Stage 1,450.7845449596731
4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,2,2,2,1,0.1027255616544942,0.3,8858,Stage 1,68.24572688516322
2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,2,2,2,1,0.6617086961772274,0.525,3512,Stage 2,1220.0584940115718
2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,2,2,2,1,0.4592830798063049,0.48,1158,Stage 1,255.2879070795365
4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,2,1,2,1,0.19016584203063847,0.75,2684,Stage 1,191.4019200038376
1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,2,1,2,1,0.7934670168512855,0.5700000000000001,1498,Stage 2,677.5097470086388
4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,2,1,2,1,0.31540712828269346,0.5700000000000001,5954,Stage 1,428.1689615292958
2,48,1,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,2,1,2,0,0.953966597961867,0.48,6416,Stage 3,3079.68
2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,2,2,2,1,0.4131287148291982,0.5700000000000001,3617,Stage 1,851.7433400762097
4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,2,1,2,1,0.2209496977554798,0.66,1291,Stage 1,188.2623994695341
3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,2,2,2,1,0.14169967179069098,0.615,1275,Stage 1,55.55512757143779
4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,2,2,2,1,0.4111202580395281,0.66,3972,Stage 1,538.8799894278919
4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,2,2,2,1,0.24295666851670117,0.48,3343,Stage 1,311.8863908549115
3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,2,2,2,1,0.6232499874076659,0.66,392,Stage 2,161.24723674211134
4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,2,2,2,1,0.2843179866268333,0.5700000000000001,2134,Stage 1,345.8387125731475
4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,2,1,2,1,0.43994825894223744,0.5700000000000001,5771,Stage 1,578.8786397370887
4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,2,2,2,1,0.14278720899009223,0.75,4526,Stage 1,242.34559045843403
4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,2,1,2,1,0.44873443691335924,0.5700000000000001,2788,Stage 1,570.4886542121873
4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,2,2,2,1,0.12664489309112292,0.5700000000000001,1382,Stage 1,99.76324808360118
3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,2,1,2,1,0.5226004294550657,0.5700000000000001,5848,Stage 2,1742.015367528338
1,12,2,0,1228,1,3,4,2,1,2,1,24,3,2,1,2,2,1,2,0,0.7779570884011248,0.75,1228,Stage 3,921.0
3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,2,1,2,1,0.33446666000442904,0.75,1297,Stage 1,325.35244351930834
4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,1,1,2,1,0.34551095702798595,0.5700000000000001,1552,Stage 1,152.82640651261877
4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,1,2,2,1,0.42482025511525845,0.5700000000000001,1963,Stage 1,475.33563165101384
4,24,2,3,3235,3,5,3,1,1,2,3,36,3,2,1,4,2,2,2,1,0.28740581439504964,0.48,3235,Stage 1,223.14187429631653
4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,2,2,2,1,0.18659054269097242,0.615,4139,Stage 1,237.48171378086494
2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,2,1,2,1,0.08212180579822725,0.615,1804,Stage 1,91.11085866090121
4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,2,2,2,1,0.4171464459146208,0.5700000000000001,1950,Stage 1,309.105516422734
4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,2,2,2,1,0.49631870355487595,0.48,12749,Stage 1,759.3080581945336
4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,2,2,2,1,0.27017579994959573,0.75,1236,Stage 1,250.45296655327525
4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,2,1,2,1,0.48437306666106517,0.66,1055,Stage 1,224.84597754406644
1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,2,1,2,1,0.9013031169755941,0.38999999999999996,8072,Stage 2,2837.3743164885277
4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,2,2,2,1,0.2861866174217611,0.5700000000000001,2831,Stage 1,184.72430357398935
4,9,2,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,2,1,2,1,0.36964462204640847,0.5700000000000001,1449,Stage 1,305.30058268679016
